t_ms,t_rel_ms_global,t_rel_ms_truth,host_time_iso,true_distance_cm,measured_dist_cm,dist_ema_cm
602863,0,0.0,2025-09-21T11:48:26.510,10.0,10.856,10.856
602963,100,100.0,2025-09-21T11:48:26.610,10.0,10.856,10.856000000000002
603063,200,200.0,2025-09-21T11:48:26.710,10.0,10.856,10.856000000000002
603163,300,300.0,2025-09-21T11:48:26.810,10.0,10.856,10.856000000000002
603263,400,400.0,2025-09-21T11:48:26.909,10.0,10.856,10.856000000000002
603363,500,500.0,2025-09-21T11:48:27.010,10.0,10.907,10.866200000000001
603463,600,600.0,2025-09-21T11:48:27.110,10.0,10.89,10.870960000000002
603563,700,700.0,2025-09-21T11:48:27.210,10.0,10.89,10.874768000000003
603663,800,800.0,2025-09-21T11:48:27.309,10.0,10.89,10.877814400000004
603763,900,900.0,2025-09-21T11:48:27.410,10.0,10.89,10.880251520000003
603863,1000,1000.0,2025-09-21T11:48:27.510,10.0,10.89,10.882201216000004
603963,1100,1100.0,2025-09-21T11:48:27.610,10.0,10.89,10.883760972800005
604063,1200,1200.0,2025-09-21T11:48:27.710,10.0,10.907,10.888408778240004
604163,1300,1300.0,2025-09-21T11:48:27.810,10.0,10.907,10.892127022592003
604263,1400,1400.0,2025-09-21T11:48:27.910,10.0,10.907,10.895101618073603
604363,1500,1500.0,2025-09-21T11:48:28.010,10.0,10.89,10.894081294458884
604463,1600,1600.0,2025-09-21T11:48:28.110,10.0,10.907,10.896665035567107
604563,1700,1700.0,2025-09-21T11:48:28.210,10.0,10.89,10.895332028453687
604663,1800,1800.0,2025-09-21T11:48:28.310,10.0,10.907,10.89766562276295
604763,1900,1900.0,2025-09-21T11:48:28.410,10.0,10.907,10.89953249821036
604863,2000,2000.0,2025-09-21T11:48:28.510,10.0,10.907,10.901025998568288
604963,2100,2100.0,2025-09-21T11:48:28.609,10.0,10.479,10.81662079885463
605063,2200,2200.0,2025-09-21T11:48:28.710,10.0,10.89,10.831296639083705
605163,2300,2300.0,2025-09-21T11:48:28.810,10.0,10.89,10.843037311266965
605263,2400,2400.0,2025-09-21T11:48:28.910,10.0,10.89,10.852429849013573
605363,2500,2500.0,2025-09-21T11:48:29.010,10.0,10.907,10.86334387921086
605463,2600,2600.0,2025-09-21T11:48:29.109,10.0,10.907,10.872075103368688
605563,2700,2700.0,2025-09-21T11:48:29.210,10.0,10.907,10.87906008269495
605663,2800,2800.0,2025-09-21T11:48:29.310,10.0,10.907,10.884648066155961
605763,2900,2900.0,2025-09-21T11:48:29.410,10.0,10.856,10.87891845292477
605863,3000,3000.0,2025-09-21T11:48:29.510,10.0,10.856,10.874334762339817
605963,3100,3100.0,2025-09-21T11:48:29.610,10.0,10.856,10.870667809871854
606063,3200,3200.0,2025-09-21T11:48:29.710,10.0,10.907,10.877934247897484
606163,3300,3300.0,2025-09-21T11:48:29.810,10.0,10.907,10.883747398317988
606263,3400,3400.0,2025-09-21T11:48:29.910,10.0,10.907,10.888397918654391
606363,3500,3500.0,2025-09-21T11:48:30.009,10.0,10.907,10.892118334923513
606463,3600,3600.0,2025-09-21T11:48:30.110,10.0,10.479,10.80949466793881
606563,3700,3700.0,2025-09-21T11:48:30.209,10.0,10.856,10.818795734351049
606663,3800,3800.0,2025-09-21T11:48:30.310,10.0,10.856,10.82623658748084
606763,3900,3900.0,2025-09-21T11:48:30.410,10.0,10.856,10.832189269984674
606863,4000,4000.0,2025-09-21T11:48:30.510,10.0,10.856,10.836951415987741
606963,4100,4100.0,2025-09-21T11:48:30.610,10.0,10.856,10.840761132790194
607063,4200,4200.0,2025-09-21T11:48:30.709,10.0,10.856,10.843808906232155
607163,4300,4300.0,2025-09-21T11:48:30.810,10.0,10.856,10.846247124985725
607263,4400,4400.0,2025-09-21T11:48:30.910,10.0,10.856,10.848197699988582
607363,4500,4500.0,2025-09-21T11:48:31.010,10.0,10.856,10.849758159990866
607463,4600,4600.0,2025-09-21T11:48:31.110,10.0,10.856,10.851006527992695
607563,4700,4700.0,2025-09-21T11:48:31.210,10.0,10.856,10.852005222394157
607663,4800,4800.0,2025-09-21T11:48:31.310,10.0,10.856,10.852804177915326
607763,4900,4900.0,2025-09-21T11:48:31.410,10.0,10.856,10.853443342332262
607863,5000,5000.0,2025-09-21T11:48:31.510,10.0,10.856,10.853954673865811
607963,5100,5100.0,2025-09-21T11:48:31.610,10.0,10.856,10.85436373909265
608063,5200,5200.0,2025-09-21T11:48:31.710,10.0,10.856,10.85469099127412
608163,5300,5300.0,2025-09-21T11:48:31.810,10.0,10.856,10.854952793019297
608263,5400,5400.0,2025-09-21T11:48:31.910,10.0,10.856,10.855162234415438
608363,5500,5500.0,2025-09-21T11:48:32.010,10.0,10.907,10.86552978753235
608463,5600,5600.0,2025-09-21T11:48:32.109,10.0,10.907,10.87382383002588
608563,5700,5700.0,2025-09-21T11:48:32.210,10.0,10.907,10.880459064020705
608663,5800,5800.0,2025-09-21T11:48:32.310,10.0,10.856,10.875567251216566
608763,5900,5900.0,2025-09-21T11:48:32.410,10.0,10.856,10.871653800973254
608863,6000,6000.0,2025-09-21T11:48:32.510,10.0,10.856,10.868523040778605
608963,6100,6100.0,2025-09-21T11:48:32.610,10.0,10.856,10.866018432622885
609063,6200,6200.0,2025-09-21T11:48:32.709,10.0,10.856,10.86401474609831
609163,6300,6300.0,2025-09-21T11:48:32.809,10.0,10.856,10.862411796878648
609263,6400,6400.0,2025-09-21T11:48:32.910,10.0,10.856,10.86112943750292
609363,6500,6500.0,2025-09-21T11:48:33.010,10.0,10.856,10.860103550002336
609463,6600,6600.0,2025-09-21T11:48:33.110,10.0,10.856,10.85928284000187
609563,6700,6700.0,2025-09-21T11:48:33.209,10.0,10.856,10.858626272001496
609663,6800,6800.0,2025-09-21T11:48:33.310,10.0,10.856,10.858101017601198
609763,6900,6900.0,2025-09-21T11:48:33.410,10.0,10.856,10.85768081408096
609863,7000,7000.0,2025-09-21T11:48:33.509,10.0,10.856,10.857344651264768
609963,7100,7100.0,2025-09-21T11:48:33.609,10.0,10.856,10.857075721011816
610063,7200,7200.0,2025-09-21T11:48:33.710,10.0,10.856,10.856860576809453
610163,7300,7300.0,2025-09-21T11:48:33.810,10.0,10.856,10.856688461447563
610263,7400,7400.0,2025-09-21T11:48:33.909,10.0,10.856,10.856550769158051
610363,7500,7500.0,2025-09-21T11:48:34.010,10.0,10.856,10.856440615326441
610463,7600,7600.0,2025-09-21T11:48:34.110,10.0,10.856,10.856352492261154
610563,7700,7700.0,2025-09-21T11:48:34.210,10.0,10.856,10.856281993808924
610663,7800,7800.0,2025-09-21T11:48:34.310,10.0,10.856,10.85622559504714
610763,7900,7900.0,2025-09-21T11:48:34.410,10.0,10.89,10.862980476037714
610863,8000,8000.0,2025-09-21T11:48:34.510,10.0,10.839,10.858184380830172
610963,8100,8100.0,2025-09-21T11:48:34.610,10.0,10.839,10.854347504664139
611063,8200,8200.0,2025-09-21T11:48:34.709,10.0,10.839,10.851278003731311
611163,8300,8300.0,2025-09-21T11:48:34.810,10.0,10.89,10.85902240298505
611263,8400,8400.0,2025-09-21T11:48:34.910,10.0,10.89,10.865217922388041
611363,8500,8500.0,2025-09-21T11:48:35.010,10.0,10.89,10.870174337910434
611463,8600,8600.0,2025-09-21T11:48:35.109,10.0,10.89,10.874139470328348
611563,8700,8700.0,2025-09-21T11:48:35.209,10.0,10.89,10.877311576262679
611663,8800,8800.0,2025-09-21T11:48:35.309,10.0,10.89,10.879849261010145
611763,8900,8900.0,2025-09-21T11:48:35.409,10.0,10.89,10.881879408808118
