t_ms,host_time_iso,true_distance_cm,measured_dist_cm,t_rel_ms_global,t_rel_ms_truth,dist_ema_cm,dist_lp_cm,dist_median_cm,dist_outlier_cm,dist_kalman_cm,measured_dist_cm_cal,dist_ema_cm_cal,dist_lp_cm_cal,dist_median_cm_cal,dist_outlier_cm_cal,dist_kalman_cm_cal
602863,2025-09-21T11:48:26.510,10.0,10.856,0,0.0,10.856,10.856,10.856,10.856,10.856,8.958185276225755,8.958185276225755,8.958185276225755,8.958185276225755,8.958185276225755,8.958185276225755
602963,2025-09-21T11:48:26.610,10.0,10.856,100,100.0,10.856000000000002,10.856,10.856,10.856,10.856,8.958185276225755,8.958185276225759,8.958185276225755,8.958185276225755,8.958185276225755,8.958185276225755
603063,2025-09-21T11:48:26.710,10.0,10.856,200,200.0,10.856000000000002,10.856,10.856,10.856,10.856,8.958185276225755,8.958185276225759,8.958185276225755,8.958185276225755,8.958185276225755,8.958185276225755
603163,2025-09-21T11:48:26.810,10.0,10.856,300,300.0,10.856000000000002,10.856,10.856,10.856,10.856,8.958185276225755,8.958185276225759,8.958185276225755,8.958185276225755,8.958185276225755,8.958185276225755
603263,2025-09-21T11:48:26.909,10.0,10.856,400,400.0,10.856000000000002,10.856,10.856,10.867333333333333,10.856,8.958185276225755,8.958185276225759,8.958185276225755,8.958185276225755,8.970979512638532,8.958185276225755
603363,2025-09-21T11:48:27.010,10.0,10.907,500,500.0,10.866200000000001,10.86875,10.89,10.878666666666668,10.865411099221893,9.01575934008325,8.969700088997257,8.97257879219013,8.996567985464086,8.98377374905131,8.968809496374199
603463,2025-09-21T11:48:27.110,10.0,10.89,600,600.0,10.870960000000002,10.8740625,10.89,10.89,10.869276653223707,8.996567985464086,8.975073668290623,8.978576090508621,8.996567985464086,8.996567985464086,8.973173332706452
603563,2025-09-21T11:48:27.210,10.0,10.89,700,700.0,10.874768000000003,10.878046875,10.89,10.89,10.872122828863445,8.996567985464086,8.979372531725318,8.983074064247486,8.996567985464086,8.996567985464086,8.976386389530607
603663,2025-09-21T11:48:27.309,10.0,10.89,800,800.0,10.877814400000004,10.88103515625,10.89,10.89,10.874309207507642,8.996567985464086,8.982811622473072,8.986447544551638,8.996567985464086,8.996567985464086,8.978854599406642
603763,2025-09-21T11:48:27.410,10.0,10.89,900,900.0,10.880251520000003,10.8832763671875,10.89,10.89,10.876043945554676,8.996567985464086,8.985562895071276,8.988977654779749,8.996567985464086,8.996567985464086,8.980812950761464
603863,2025-09-21T11:48:27.510,10.0,10.89,1000,1000.0,10.882201216000004,10.884957275390626,10.89,10.89,10.877455882646746,8.996567985464086,8.987763913149838,8.990875237450833,8.996567985464086,8.996567985464086,8.982406891081101
603963,2025-09-21T11:48:27.610,10.0,10.89,1100,1100.0,10.883760972800005,10.88621795654297,10.89,10.89,10.878629028293977,8.996567985464086,8.98952472761269,8.992298424454148,8.996567985464086,8.996567985464086,8.983731258971453
604063,2025-09-21T11:48:27.710,10.0,10.907,1200,1200.0,10.888408778240004,10.891413467407228,10.907,10.895666666666667,10.88110277234111,9.01575934008325,8.994771650106802,8.998163653361424,9.01575934008325,9.002965103670473,8.986523876574132
604163,2025-09-21T11:48:27.810,10.0,10.907,1300,1300.0,10.892127022592003,10.89531010055542,10.907,10.901333333333334,10.883223467501457,9.01575934008325,8.998969188102091,9.002562575041878,9.01575934008325,9.009362221876863,8.988917936154213
604263,2025-09-21T11:48:27.910,10.0,10.907,1400,1400.0,10.895101618073603,10.898232575416564,10.907,10.907,10.885063680904548,9.01575934008325,9.002327218498323,9.005861766302221,9.01575934008325,9.01575934008325,8.990995358977369
604363,2025-09-21T11:48:28.010,10.0,10.89,1500,1500.0,10.894081294458884,10.896174431562423,10.907,10.89,10.885426777425371,8.996567985464086,9.001175371891478,9.003538321092687,9.01575934008325,8.996567985464086,8.991405259806317
604463,2025-09-21T11:48:28.110,10.0,10.907,1600,1600.0,10.896665035567107,10.898880823671817,10.907,10.907,10.886942262419831,9.01575934008325,9.004092165529833,9.006593575840327,9.01575934008325,9.01575934008325,8.993116095685654
604563,2025-09-21T11:48:28.210,10.0,10.89,1700,1700.0,10.895332028453687,10.896660617753863,10.907,10.89,10.887148293718646,8.996567985464086,9.002587329516686,9.004087178246266,9.01575934008325,8.996567985464086,8.99334868508084
604663,2025-09-21T11:48:28.310,10.0,10.907,1800,1800.0,10.89766562276295,10.899245463315397,10.907,10.907,10.888436252248473,9.01575934008325,9.005221731629998,9.007005218705512,9.01575934008325,9.01575934008325,8.994802665603235
604763,2025-09-21T11:48:28.410,10.0,10.907,1900,1900.0,10.89953249821036,10.901184097486547,10.907,10.907,10.88959994991582,9.01575934008325,9.007329253320648,9.009193749049945,9.01575934008325,9.01575934008325,8.996116367638738
604863,2025-09-21T11:48:28.510,10.0,10.907,2000,2000.0,10.901025998568288,10.902638073114911,10.907,10.907,10.8906571150803,9.01575934008325,9.00901527067317,9.010835146808272,9.01575934008325,9.01575934008325,8.997309804789477
604963,2025-09-21T11:48:28.609,10.0,10.479,2100,2100.0,10.81662079885463,10.796728554836182,10.89,10.8985,10.866348500679218,8.532588764965467,8.91372996953163,8.89127355134757,8.996567985464086,9.00616366277367,8.969867731891142
