t_ms,host_time_iso,true_distance_cm,measured_dist_cm
602863,2025-09-21T11:48:26.510,10,10.856
602963,2025-09-21T11:48:26.610,10,10.856
603063,2025-09-21T11:48:26.710,10,10.856
603163,2025-09-21T11:48:26.810,10,10.856
603263,2025-09-21T11:48:26.909,10,10.856
603363,2025-09-21T11:48:27.010,10,10.907
603463,2025-09-21T11:48:27.110,10,10.890
603563,2025-09-21T11:48:27.210,10,10.890
603663,2025-09-21T11:48:27.309,10,10.890
603763,2025-09-21T11:48:27.410,10,10.890
603863,2025-09-21T11:48:27.510,10,10.890
603963,2025-09-21T11:48:27.610,10,10.890
604063,2025-09-21T11:48:27.710,10,10.907
604163,2025-09-21T11:48:27.810,10,10.907
604263,2025-09-21T11:48:27.910,10,10.907
604363,2025-09-21T11:48:28.010,10,10.890
604463,2025-09-21T11:48:28.110,10,10.907
604563,2025-09-21T11:48:28.210,10,10.890
604663,2025-09-21T11:48:28.310,10,10.907
604763,2025-09-21T11:48:28.410,10,10.907
604863,2025-09-21T11:48:28.510,10,10.907
604963,2025-09-21T11:48:28.609,10,10.479
605063,2025-09-21T11:48:28.710,10,10.890
605163,2025-09-21T11:48:28.810,10,10.890
605263,2025-09-21T11:48:28.910,10,10.890
605363,2025-09-21T11:48:29.010,10,10.907
605463,2025-09-21T11:48:29.109,10,10.907
605563,2025-09-21T11:48:29.210,10,10.907
605663,2025-09-21T11:48:29.310,10,10.907
605763,2025-09-21T11:48:29.410,10,10.856
605863,2025-09-21T11:48:29.510,10,10.856
605963,2025-09-21T11:48:29.610,10,10.856
606063,2025-09-21T11:48:29.710,10,10.907
606163,2025-09-21T11:48:29.810,10,10.907
606263,2025-09-21T11:48:29.910,10,10.907
606363,2025-09-21T11:48:30.009,10,10.907
606463,2025-09-21T11:48:30.110,10,10.479
606563,2025-09-21T11:48:30.209,10,10.856
606663,2025-09-21T11:48:30.310,10,10.856
606763,2025-09-21T11:48:30.410,10,10.856
606863,2025-09-21T11:48:30.510,10,10.856
606963,2025-09-21T11:48:30.610,10,10.856
607063,2025-09-21T11:48:30.709,10,10.856
607163,2025-09-21T11:48:30.810,10,10.856
607263,2025-09-21T11:48:30.910,10,10.856
607363,2025-09-21T11:48:31.010,10,10.856
607463,2025-09-21T11:48:31.110,10,10.856
607563,2025-09-21T11:48:31.210,10,10.856
607663,2025-09-21T11:48:31.310,10,10.856
607763,2025-09-21T11:48:31.410,10,10.856
607863,2025-09-21T11:48:31.510,10,10.856
607963,2025-09-21T11:48:31.610,10,10.856
608063,2025-09-21T11:48:31.710,10,10.856
608163,2025-09-21T11:48:31.810,10,10.856
608263,2025-09-21T11:48:31.910,10,10.856
608363,2025-09-21T11:48:32.010,10,10.907
608463,2025-09-21T11:48:32.109,10,10.907
608563,2025-09-21T11:48:32.210,10,10.907
608663,2025-09-21T11:48:32.310,10,10.856
608763,2025-09-21T11:48:32.410,10,10.856
608863,2025-09-21T11:48:32.510,10,10.856
608963,2025-09-21T11:48:32.610,10,10.856
609063,2025-09-21T11:48:32.709,10,10.856
609163,2025-09-21T11:48:32.809,10,10.856
609263,2025-09-21T11:48:32.910,10,10.856
609363,2025-09-21T11:48:33.010,10,10.856
609463,2025-09-21T11:48:33.110,10,10.856
609563,2025-09-21T11:48:33.209,10,10.856
609663,2025-09-21T11:48:33.310,10,10.856
609763,2025-09-21T11:48:33.410,10,10.856
609863,2025-09-21T11:48:33.509,10,10.856
609963,2025-09-21T11:48:33.609,10,10.856
610063,2025-09-21T11:48:33.710,10,10.856
610163,2025-09-21T11:48:33.810,10,10.856
610263,2025-09-21T11:48:33.909,10,10.856
610363,2025-09-21T11:48:34.010,10,10.856
610463,2025-09-21T11:48:34.110,10,10.856
610563,2025-09-21T11:48:34.210,10,10.856
610663,2025-09-21T11:48:34.310,10,10.856
610763,2025-09-21T11:48:34.410,10,10.890
610863,2025-09-21T11:48:34.510,10,10.839
610963,2025-09-21T11:48:34.610,10,10.839
611063,2025-09-21T11:48:34.709,10,10.839
611163,2025-09-21T11:48:34.810,10,10.890
