t_ms,host_time_iso,true_distance_cm,raw_cm,ema_cm,lp_cm,median_cm,outlier_cm,kalman_cm
413,2025-09-21T16:55:34.409,20.0,24.079,24.079,24.079,24.079,24.079,24.079
513,2025-09-21T16:55:34.458,20.0,23.341,23.894,23.894,23.710,23.341,23.587
613,2025-09-21T16:55:34.552,20.0,23.393,23.769,23.769,23.393,23.393,23.509
713,2025-09-21T16:55:34.652,20.0,25.125,24.108,24.108,23.736,25.125,23.973
813,2025-09-21T16:55:34.752,20.0,25.708,24.508,24.508,24.079,25.708,24.362
913,2025-09-21T16:55:34.852,20.0,23.873,24.349,24.349,23.873,23.873,24.272
1013,2025-09-21T16:55:34.953,20.0,26.548,24.899,24.899,25.125,26.548,24.630
1113,2025-09-21T16:55:35.053,20.0,24.919,24.904,24.904,25.125,24.919,24.669
1213,2025-09-21T16:55:35.153,20.0,24.130,24.710,24.710,24.919,24.130,24.603
1313,2025-09-21T16:55:35.253,20.0,24.610,24.685,24.685,24.610,24.610,24.604
1413,2025-09-21T16:55:35.353,20.0,22.604,24.165,24.165,24.610,22.604,24.402
1513,2025-09-21T16:55:35.453,20.0,22.878,23.843,23.843,24.130,22.878,24.259
1613,2025-09-21T16:55:35.552,20.0,23.067,23.649,23.649,23.067,23.067,24.155
1713,2025-09-21T16:55:35.652,20.0,21.712,23.165,23.165,22.878,21.712,23.955
1813,2025-09-21T16:55:35.752,20.0,18.985,22.120,22.120,22.604,18.985,23.571
1913,2025-09-21T16:55:35.852,20.0,22.604,22.241,22.241,22.604,22.604,23.499
2013,2025-09-21T16:55:35.953,20.0,17.716,21.110,21.110,21.712,17.716,23.093
2113,2025-09-21T16:55:36.053,20.0,19.722,20.763,20.763,19.722,19.722,22.866
2213,2025-09-21T16:55:36.153,20.0,16.567,19.714,19.714,18.985,16.567,22.457
2313,2025-09-21T16:55:36.252,20.0,15.829,18.743,18.743,17.716,15.829,22.042
2413,2025-09-21T16:55:36.353,20.0,16.464,18.173,18.173,16.567,16.464,21.703
2513,2025-09-21T16:55:36.451,20.0,14.509,17.257,17.257,16.464,14.509,21.278
2613,2025-09-21T16:55:36.552,20.0,13.360,16.283,16.283,15.829,13.360,20.823
2713,2025-09-21T16:55:36.652,20.0,12.519,15.342,15.342,14.509,12.519,20.356
2813,2025-09-21T16:55:36.752,20.0,12.931,14.739,14.739,13.360,12.931,19.948
2913,2025-09-21T16:55:36.853,20.0,14.835,14.763,14.763,13.360,14.835,19.672
