t_ms,t_rel_ms_global,t_rel_ms_truth,host_time_iso,true_distance_cm,measured_dist_cm,dist_kalman_cm
602863,0,0.0,2025-09-21T11:48:26.510,10.0,10.856,10.856
602963,100,100.0,2025-09-21T11:48:26.610,10.0,10.856,10.856
603063,200,200.0,2025-09-21T11:48:26.710,10.0,10.856,10.856
603163,300,300.0,2025-09-21T11:48:26.810,10.0,10.856,10.856
603263,400,400.0,2025-09-21T11:48:26.909,10.0,10.856,10.856
603363,500,500.0,2025-09-21T11:48:27.010,10.0,10.907,10.865411099221893
603463,600,600.0,2025-09-21T11:48:27.110,10.0,10.89,10.869276653223707
603563,700,700.0,2025-09-21T11:48:27.210,10.0,10.89,10.872122828863445
603663,800,800.0,2025-09-21T11:48:27.309,10.0,10.89,10.874309207507642
603763,900,900.0,2025-09-21T11:48:27.410,10.0,10.89,10.876043945554676
603863,1000,1000.0,2025-09-21T11:48:27.510,10.0,10.89,10.877455882646746
603963,1100,1100.0,2025-09-21T11:48:27.610,10.0,10.89,10.878629028293977
604063,1200,1200.0,2025-09-21T11:48:27.710,10.0,10.907,10.88110277234111
604163,1300,1300.0,2025-09-21T11:48:27.810,10.0,10.907,10.883223467501457
604263,1400,1400.0,2025-09-21T11:48:27.910,10.0,10.907,10.885063680904548
604363,1500,1500.0,2025-09-21T11:48:28.010,10.0,10.89,10.885426777425371
604463,1600,1600.0,2025-09-21T11:48:28.110,10.0,10.907,10.886942262419831
604563,1700,1700.0,2025-09-21T11:48:28.210,10.0,10.89,10.887148293718646
604663,1800,1800.0,2025-09-21T11:48:28.310,10.0,10.907,10.888436252248473
604763,1900,1900.0,2025-09-21T11:48:28.410,10.0,10.907,10.88959994991582
604863,2000,2000.0,2025-09-21T11:48:28.510,10.0,10.907,10.8906571150803
604963,2100,2100.0,2025-09-21T11:48:28.609,10.0,10.479,10.866348500679218
605063,2200,2200.0,2025-09-21T11:48:28.710,10.0,10.89,10.867709358515533
605163,2300,2300.0,2025-09-21T11:48:28.810,10.0,10.89,10.86896192172387
605263,2400,2400.0,2025-09-21T11:48:28.910,10.0,10.89,10.870118852152675
605363,2500,2500.0,2025-09-21T11:48:29.010,10.0,10.907,10.872107455399007
605463,2600,2600.0,2025-09-21T11:48:29.109,10.0,10.907,10.873955290260215
605563,2700,2700.0,2025-09-21T11:48:29.210,10.0,10.907,10.875676749412184
605663,2800,2800.0,2025-09-21T11:48:29.310,10.0,10.907,10.877284220031548
605763,2900,2900.0,2025-09-21T11:48:29.410,10.0,10.856,10.876206817427903
605863,3000,3000.0,2025-09-21T11:48:29.510,10.0,10.856,10.875196691673809
605963,3100,3100.0,2025-09-21T11:48:29.610,10.0,10.856,10.87424799043524
606063,3200,3200.0,2025-09-21T11:48:29.710,10.0,10.907,10.875849738096688
606163,3300,3300.0,2025-09-21T11:48:29.810,10.0,10.907,10.877358641095464
606263,3400,3400.0,2025-09-21T11:48:29.910,10.0,10.907,10.878781945550774
606363,3500,3500.0,2025-09-21T11:48:30.009,10.0,10.907,10.880126110762742
606463,3600,3600.0,2025-09-21T11:48:30.110,10.0,10.479,10.861157736069117
606563,3700,3700.0,2025-09-21T11:48:30.209,10.0,10.856,10.8609154636388
606663,3800,3800.0,2025-09-21T11:48:30.310,10.0,10.856,10.860685978924643
606763,3900,3900.0,2025-09-21T11:48:30.410,10.0,10.856,10.860468427795654
606863,4000,4000.0,2025-09-21T11:48:30.510,10.0,10.856,10.860262034623894
606963,4100,4100.0,2025-09-21T11:48:30.610,10.0,10.856,10.860066092803923
607063,4200,4200.0,2025-09-21T11:48:30.709,10.0,10.856,10.859879956637956
607163,4300,4300.0,2025-09-21T11:48:30.810,10.0,10.856,10.859703034364767
607263,4400,4400.0,2025-09-21T11:48:30.910,10.0,10.856,10.859534782150345
607363,4500,4500.0,2025-09-21T11:48:31.010,10.0,10.856,10.859374698890285
607463,4600,4600.0,2025-09-21T11:48:31.110,10.0,10.856,10.85922232169978
607563,4700,4700.0,2025-09-21T11:48:31.210,10.0,10.856,10.859077221987993
607663,4800,4800.0,2025-09-21T11:48:31.310,10.0,10.856,10.858939002030729
607763,4900,4900.0,2025-09-21T11:48:31.410,10.0,10.856,10.858807291969267
607863,5000,5000.0,2025-09-21T11:48:31.510,10.0,10.856,10.858681747174762
607963,5100,5100.0,2025-09-21T11:48:31.610,10.0,10.856,10.858562045927076
608063,5200,5200.0,2025-09-21T11:48:31.710,10.0,10.856,10.858447887364818
608163,5300,5300.0,2025-09-21T11:48:31.810,10.0,10.856,10.858338989669887
608263,5400,5400.0,2025-09-21T11:48:31.910,10.0,10.856,10.85823508845532
608363,5500,5500.0,2025-09-21T11:48:32.010,10.0,10.907,10.860398400329737
608463,5600,5600.0,2025-09-21T11:48:32.109,10.0,10.907,10.86246321727041
608563,5700,5700.0,2025-09-21T11:48:32.210,10.0,10.907,10.86443434162445
608663,5800,5800.0,2025-09-21T11:48:32.310,10.0,10.856,10.864061433062028
608763,5900,5900.0,2025-09-21T11:48:32.410,10.0,10.856,10.863705345024082
608863,6000,6000.0,2025-09-21T11:48:32.510,10.0,10.856,10.86336527690535
608963,6100,6100.0,2025-09-21T11:48:32.610,10.0,10.856,10.863040471412148
609063,6200,6200.0,2025-09-21T11:48:32.709,10.0,10.856,10.862730211598294
609163,6300,6300.0,2025-09-21T11:48:32.809,10.0,10.856,10.862433818170688
609263,6400,6400.0,2025-09-21T11:48:32.910,10.0,10.856,10.862150647034003
609363,6500,6500.0,2025-09-21T11:48:33.010,10.0,10.856,10.861880087047886
609463,6600,6600.0,2025-09-21T11:48:33.110,10.0,10.856,10.86162155797343
609563,6700,6700.0,2025-09-21T11:48:33.209,10.0,10.856,10.86137450858863
609663,6800,6800.0,2025-09-21T11:48:33.310,10.0,10.856,10.861138414955002
609763,6900,6900.0,2025-09-21T11:48:33.410,10.0,10.856,10.860912778819772
609863,7000,7000.0,2025-09-21T11:48:33.509,10.0,10.856,10.860697126139907
609963,7100,7100.0,2025-09-21T11:48:33.609,10.0,10.856,10.86049100571589
610063,7200,7200.0,2025-09-21T11:48:33.710,10.0,10.856,10.860293987924578
610163,7300,7300.0,2025-09-21T11:48:33.810,10.0,10.856,10.860105663541749
610263,7400,7400.0,2025-09-21T11:48:33.909,10.0,10.856,10.859925642645948
610363,7500,7500.0,2025-09-21T11:48:34.010,10.0,10.856,10.859753553596283
610463,7600,7600.0,2025-09-21T11:48:34.110,10.0,10.856,10.85958904207757
610563,7700,7700.0,2025-09-21T11:48:34.210,10.0,10.856,10.859431770206983
610663,7800,7800.0,2025-09-21T11:48:34.310,10.0,10.856,10.859281415697007
610763,7900,7900.0,2025-09-21T11:48:34.410,10.0,10.89,10.86062706399356
610863,8000,8000.0,2025-09-21T11:48:34.510,10.0,10.839,10.859679811294425
610963,8100,8100.0,2025-09-21T11:48:34.610,10.0,10.839,10.858774166102325
611063,8200,8200.0,2025-09-21T11:48:34.709,10.0,10.839,10.857908285964866
611163,8300,8300.0,2025-09-21T11:48:34.810,10.0,10.89,10.85931337886582
611263,8400,8400.0,2025-09-21T11:48:34.910,10.0,10.89,10.860656817350828
611363,8500,8500.0,2025-09-21T11:48:35.010,10.0,10.89,10.861941323632585
611463,8600,8600.0,2025-09-21T11:48:35.109,10.0,10.89,10.863169497615958
611563,8700,8700.0,2025-09-21T11:48:35.209,10.0,10.89,10.864343822657085
611663,8800,8800.0,2025-09-21T11:48:35.309,10.0,10.89,10.865466671018885
611763,8900,8900.0,2025-09-21T11:48:35.409,10.0,10.89,10.866540309042769
611863,9000,9000.0,2025-09-21T11:48:35.510,10.0,10.839,10.86533514871643
611963,9100,9100.0,2025-09-21T11:48:35.610,10.0,10.839,10.864182787643301
612063,9200,9200.0,2025-09-21T11:48:35.710,10.0,10.839,10.863080904902793
612163,9300,9300.0,2025-09-21T11:48:35.810,10.0,10.856,10.862771090981854
612263,9400,9400.0,2025-09-21T11:48:35.910,10.0,10.856,10.862474844592837
612363,9500,9500.0,2025-09-21T11:48:36.010,10.0,10.856,10.862191570059107
612463,9600,9600.0,2025-09-21T11:48:36.110,10.0,10.839,10.86117697324937
612563,9700,9700.0,2025-09-21T11:48:36.210,10.0,10.839,10.86020679386793
612663,9800,9800.0,2025-09-21T11:48:36.310,10.0,11.25,10.877258648490102
612763,9900,9900.0,2025-09-21T11:48:36.410,10.0,11.25,10.8935641282415
612863,10000,10000.0,2025-09-21T11:48:36.510,10.0,11.25,10.90915595611761
612963,10100,10100.0,2025-09-21T11:48:36.609,10.0,11.25,10.924065413738749
613063,10200,10200.0,2025-09-21T11:48:36.710,10.0,11.25,10.938322405681092
