t_ms,t_rel_ms_global,t_rel_ms_truth,host_time_iso,true_distance_cm,measured_dist_cm,dist_lp_cm
602863,0,0.0,2025-09-21T11:48:26.510,10.0,10.856,10.856
602963,100,100.0,2025-09-21T11:48:26.610,10.0,10.856,10.856
603063,200,200.0,2025-09-21T11:48:26.710,10.0,10.856,10.856
603163,300,300.0,2025-09-21T11:48:26.810,10.0,10.856,10.856
603263,400,400.0,2025-09-21T11:48:26.909,10.0,10.856,10.856
603363,500,500.0,2025-09-21T11:48:27.010,10.0,10.907,10.86875
603463,600,600.0,2025-09-21T11:48:27.110,10.0,10.89,10.8740625
603563,700,700.0,2025-09-21T11:48:27.210,10.0,10.89,10.878046875
603663,800,800.0,2025-09-21T11:48:27.309,10.0,10.89,10.88103515625
603763,900,900.0,2025-09-21T11:48:27.410,10.0,10.89,10.8832763671875
603863,1000,1000.0,2025-09-21T11:48:27.510,10.0,10.89,10.884957275390626
603963,1100,1100.0,2025-09-21T11:48:27.610,10.0,10.89,10.88621795654297
604063,1200,1200.0,2025-09-21T11:48:27.710,10.0,10.907,10.891413467407228
604163,1300,1300.0,2025-09-21T11:48:27.810,10.0,10.907,10.89531010055542
604263,1400,1400.0,2025-09-21T11:48:27.910,10.0,10.907,10.898232575416564
604363,1500,1500.0,2025-09-21T11:48:28.010,10.0,10.89,10.896174431562423
604463,1600,1600.0,2025-09-21T11:48:28.110,10.0,10.907,10.898880823671817
604563,1700,1700.0,2025-09-21T11:48:28.210,10.0,10.89,10.896660617753863
604663,1800,1800.0,2025-09-21T11:48:28.310,10.0,10.907,10.899245463315397
604763,1900,1900.0,2025-09-21T11:48:28.410,10.0,10.907,10.901184097486547
604863,2000,2000.0,2025-09-21T11:48:28.510,10.0,10.907,10.902638073114911
604963,2100,2100.0,2025-09-21T11:48:28.609,10.0,10.479,10.796728554836182
605063,2200,2200.0,2025-09-21T11:48:28.710,10.0,10.89,10.820046416127138
605163,2300,2300.0,2025-09-21T11:48:28.810,10.0,10.89,10.837534812095353
605263,2400,2400.0,2025-09-21T11:48:28.910,10.0,10.89,10.850651109071514
605363,2500,2500.0,2025-09-21T11:48:29.010,10.0,10.907,10.864738331803636
605463,2600,2600.0,2025-09-21T11:48:29.109,10.0,10.907,10.875303748852726
605563,2700,2700.0,2025-09-21T11:48:29.210,10.0,10.907,10.883227811639545
605663,2800,2800.0,2025-09-21T11:48:29.310,10.0,10.907,10.889170858729658
605763,2900,2900.0,2025-09-21T11:48:29.410,10.0,10.856,10.880878144047244
605863,3000,3000.0,2025-09-21T11:48:29.510,10.0,10.856,10.874658608035434
605963,3100,3100.0,2025-09-21T11:48:29.610,10.0,10.856,10.869993956026576
606063,3200,3200.0,2025-09-21T11:48:29.710,10.0,10.907,10.879245467019931
606163,3300,3300.0,2025-09-21T11:48:29.810,10.0,10.907,10.886184100264948
606263,3400,3400.0,2025-09-21T11:48:29.910,10.0,10.907,10.891388075198712
606363,3500,3500.0,2025-09-21T11:48:30.009,10.0,10.907,10.895291056399035
606463,3600,3600.0,2025-09-21T11:48:30.110,10.0,10.479,10.791218292299277
606563,3700,3700.0,2025-09-21T11:48:30.209,10.0,10.856,10.807413719224458
606663,3800,3800.0,2025-09-21T11:48:30.310,10.0,10.856,10.819560289418344
606763,3900,3900.0,2025-09-21T11:48:30.410,10.0,10.856,10.828670217063758
606863,4000,4000.0,2025-09-21T11:48:30.510,10.0,10.856,10.835502662797818
606963,4100,4100.0,2025-09-21T11:48:30.610,10.0,10.856,10.840626997098363
607063,4200,4200.0,2025-09-21T11:48:30.709,10.0,10.856,10.844470247823772
607163,4300,4300.0,2025-09-21T11:48:30.810,10.0,10.856,10.847352685867829
607263,4400,4400.0,2025-09-21T11:48:30.910,10.0,10.856,10.849514514400871
607363,4500,4500.0,2025-09-21T11:48:31.010,10.0,10.856,10.851135885800653
607463,4600,4600.0,2025-09-21T11:48:31.110,10.0,10.856,10.85235191435049
607563,4700,4700.0,2025-09-21T11:48:31.210,10.0,10.856,10.853263935762866
607663,4800,4800.0,2025-09-21T11:48:31.310,10.0,10.856,10.85394795182215
607763,4900,4900.0,2025-09-21T11:48:31.410,10.0,10.856,10.854460963866613
607863,5000,5000.0,2025-09-21T11:48:31.510,10.0,10.856,10.85484572289996
607963,5100,5100.0,2025-09-21T11:48:31.610,10.0,10.856,10.85513429217497
608063,5200,5200.0,2025-09-21T11:48:31.710,10.0,10.856,10.855350719131227
608163,5300,5300.0,2025-09-21T11:48:31.810,10.0,10.856,10.85551303934842
608263,5400,5400.0,2025-09-21T11:48:31.910,10.0,10.856,10.855634779511314
608363,5500,5500.0,2025-09-21T11:48:32.010,10.0,10.907,10.868476084633485
608463,5600,5600.0,2025-09-21T11:48:32.109,10.0,10.907,10.878107063475113
608563,5700,5700.0,2025-09-21T11:48:32.210,10.0,10.907,10.885330297606334
608663,5800,5800.0,2025-09-21T11:48:32.310,10.0,10.856,10.87799772320475
608763,5900,5900.0,2025-09-21T11:48:32.410,10.0,10.856,10.872498292403563
608863,6000,6000.0,2025-09-21T11:48:32.510,10.0,10.856,10.868373719302673
608963,6100,6100.0,2025-09-21T11:48:32.610,10.0,10.856,10.865280289477004
609063,6200,6200.0,2025-09-21T11:48:32.709,10.0,10.856,10.862960217107753
609163,6300,6300.0,2025-09-21T11:48:32.809,10.0,10.856,10.861220162830815
609263,6400,6400.0,2025-09-21T11:48:32.910,10.0,10.856,10.85991512212311
609363,6500,6500.0,2025-09-21T11:48:33.010,10.0,10.856,10.858936341592333
609463,6600,6600.0,2025-09-21T11:48:33.110,10.0,10.856,10.85820225619425
609563,6700,6700.0,2025-09-21T11:48:33.209,10.0,10.856,10.857651692145687
609663,6800,6800.0,2025-09-21T11:48:33.310,10.0,10.856,10.857238769109266
609763,6900,6900.0,2025-09-21T11:48:33.410,10.0,10.856,10.85692907683195
609863,7000,7000.0,2025-09-21T11:48:33.509,10.0,10.856,10.856696807623962
609963,7100,7100.0,2025-09-21T11:48:33.609,10.0,10.856,10.856522605717972
610063,7200,7200.0,2025-09-21T11:48:33.710,10.0,10.856,10.85639195428848
610163,7300,7300.0,2025-09-21T11:48:33.810,10.0,10.856,10.85629396571636
610263,7400,7400.0,2025-09-21T11:48:33.909,10.0,10.856,10.85622047428727
610363,7500,7500.0,2025-09-21T11:48:34.010,10.0,10.856,10.856165355715452
610463,7600,7600.0,2025-09-21T11:48:34.110,10.0,10.856,10.85612401678659
610563,7700,7700.0,2025-09-21T11:48:34.210,10.0,10.856,10.856093012589941
610663,7800,7800.0,2025-09-21T11:48:34.310,10.0,10.856,10.856069759442455
610763,7900,7900.0,2025-09-21T11:48:34.410,10.0,10.89,10.864552319581842
610863,8000,8000.0,2025-09-21T11:48:34.510,10.0,10.839,10.858164239686381
610963,8100,8100.0,2025-09-21T11:48:34.610,10.0,10.839,10.853373179764786
611063,8200,8200.0,2025-09-21T11:48:34.709,10.0,10.839,10.84977988482359
611163,8300,8300.0,2025-09-21T11:48:34.810,10.0,10.89,10.859834913617693
611263,8400,8400.0,2025-09-21T11:48:34.910,10.0,10.89,10.86737618521327
611363,8500,8500.0,2025-09-21T11:48:35.010,10.0,10.89,10.873032138909952
611463,8600,8600.0,2025-09-21T11:48:35.109,10.0,10.89,10.877274104182465
611563,8700,8700.0,2025-09-21T11:48:35.209,10.0,10.89,10.88045557813685
611663,8800,8800.0,2025-09-21T11:48:35.309,10.0,10.89,10.882841683602638
611763,8900,8900.0,2025-09-21T11:48:35.409,10.0,10.89,10.88463126270198
611863,9000,9000.0,2025-09-21T11:48:35.510,10.0,10.839,10.873223447026485
611963,9100,9100.0,2025-09-21T11:48:35.610,10.0,10.839,10.864667585269864
612063,9200,9200.0,2025-09-21T11:48:35.710,10.0,10.839,10.858250688952397
612163,9300,9300.0,2025-09-21T11:48:35.810,10.0,10.856,10.857688016714299
612263,9400,9400.0,2025-09-21T11:48:35.910,10.0,10.856,10.857266012535725
612363,9500,9500.0,2025-09-21T11:48:36.010,10.0,10.856,10.856949509401794
612463,9600,9600.0,2025-09-21T11:48:36.110,10.0,10.839,10.852462132051345
612563,9700,9700.0,2025-09-21T11:48:36.210,10.0,10.839,10.849096599038509
612663,9800,9800.0,2025-09-21T11:48:36.310,10.0,11.25,10.949322449278881
612763,9900,9900.0,2025-09-21T11:48:36.410,10.0,11.25,11.024491836959161
612863,10000,10000.0,2025-09-21T11:48:36.510,10.0,11.25,11.080868877719372
612963,10100,10100.0,2025-09-21T11:48:36.609,10.0,11.25,11.12315165828953
613063,10200,10200.0,2025-09-21T11:48:36.710,10.0,11.25,11.154863743717147
