t_ms,duration_us,dist_cm
62963,1439,24.679
63063,1439,24.679
63163,1439,24.679
63263,1439,24.679
63363,1439,24.679
63463,1439,24.679
63563,1439,24.679
63663,1439,24.679
63763,1439,24.679
63863,1439,24.679
63963,1439,24.679
64063,1439,24.679
64163,1439,24.679
64263,1439,24.679
64363,1439,24.679
64463,1439,24.679
64563,1439,24.679
64663,1439,24.679
64763,1439,24.679
64863,1439,24.679
64963,1439,24.679
65063,1439,24.679
65163,1439,24.679
65263,1439,24.679
65363,1439,24.679
65463,1439,24.679
65563,1439,24.679
65663,1439,24.679
65763,1439,24.679
65863,1439,24.679
65963,1439,24.679
66063,1439,24.679
66163,1439,24.679
66263,1439,24.679
66363,1439,24.679
66463,1439,24.679
66563,1439,24.679
66663,1439,24.679
66763,1440,24.696
66863,1439,24.679
66963,1439,24.679
67063,1439,24.679
67163,1439,24.679
67263,1439,24.679
67363,1439,24.679
67463,1439,24.679
67563,1439,24.679
67663,1439,24.679
67763,1439,24.679
67863,1439,24.679
67963,1439,24.679
68063,1439,24.679
68163,1439,24.679
68263,1439,24.679
68363,1439,24.679
68463,1439,24.679
68563,1439,24.679
68663,1439,24.679
68763,1439,24.679
68863,1439,24.679
68963,1439,24.679
69063,1439,24.679
69163,1439,24.679
69263,1439,24.679
69363,1439,24.679
69463,1439,24.679
69563,1439,24.679
69663,1439,24.679
69763,1439,24.679
69863,1439,24.679
69963,1439,24.679
70063,1439,24.679
70163,1439,24.679
70263,1439,24.679
70363,1439,24.679
70463,1439,24.679
70563,1439,24.679
70663,1439,24.679
70763,1495,25.639
70863,1494,25.622
70963,1483,25.433
71063,1566,26.857
71163,1645,28.212
71263,1744,29.910
71363,1848,31.693
71463,1943,33.322
71563,2035,34.900
71663,2078,35.638
71763,2088,35.809
71863,2179,37.370
71963,2118,36.324
72063,2118,36.324
72163,2121,36.375
72263,2118,36.324
72363,2092,35.878
72463,2096,35.946
72563,2097,35.964
72663,2090,35.843
72763,2102,36.049
72863,2109,36.169
72963,2130,36.529
73063,2137,36.650
73163,2115,36.272
73263,1179,20.220
73363,2115,36.272
73463,2133,36.581
73563,2133,36.581
73663,2136,36.632
73763,2136,36.632
73863,2136,36.632
73963,2136,36.632
74063,2133,36.581
74163,2136,36.632
74263,2133,36.581
74363,2133,36.581
74463,2130,36.529
74563,2124,36.427
74663,2127,36.478
74763,2133,36.581
74863,2133,36.581
74963,2136,36.632
75063,2136,36.632
75163,2136,36.632
75263,2136,36.632
75363,2136,36.632
75463,2136,36.632
75563,2136,36.632
75663,2136,36.632
75763,2136,36.632
75863,2136,36.632
75963,2136,36.632
76063,2136,36.632
76163,2137,36.650
76263,2136,36.632
76363,2136,36.632
76463,2136,36.632
76563,2136,36.632
76663,2136,36.632
76763,2136,36.632
76863,2136,36.632
76963,2136,36.632
77063,2136,36.632
77163,2136,36.632
77263,2136,36.632
77363,2136,36.632
77463,2140,36.701
77563,2127,36.478
77663,2149,36.855
77763,2210,37.902
77863,2231,38.262
77963,2290,39.273
78063,1924,32.997
78163,1653,28.349
78263,46,0.789
78363,2409,41.314
78463,2408,41.297
78563,2409,41.314
78663,2433,41.726
78763,2411,41.349
78863,2409,41.314
78963,2408,41.297
79063,2411,41.349
79163,2408,41.297
79263,2432,41.709
79363,2408,41.297
79463,2408,41.297
79563,2408,41.297
79663,2408,41.297
79763,2409,41.314
79863,47,0.806
79963,47,0.806
80063,46,0.789
80163,46,0.789
80263,47,0.806
80363,47,0.806
80463,46,0.789
80563,46,0.789
80663,47,0.806
80763,47,0.806
80863,47,0.806
80963,46,0.789
81063,47,0.806
81163,47,0.806
81263,46,0.789
81363,47,0.806
81463,2414,41.400
81563,47,0.806
81663,47,0.806
81763,47,0.806
81863,47,0.806
81963,47,0.806
82063,47,0.806
82163,2419,41.486
82263,2419,41.486
82363,2418,41.469
82463,2417,41.452
82563,46,0.789
82663,47,0.806
82763,46,0.789
82863,47,0.806
82963,46,0.789
83063,47,0.806
83163,46,0.789
83263,47,0.806
83363,46,0.789
83463,47,0.806
83563,47,0.806
83663,47,0.806
83763,47,0.806
83863,47,0.806
83963,46,0.789
84063,47,0.806
84163,47,0.806
84263,47,0.806
84363,2420,41.503
84463,2421,41.520
84563,2396,41.091
84663,2396,41.091
84763,2396,41.091
84863,2421,41.520
84963,2421,41.520
85063,2397,41.109
85163,2420,41.503
85263,2419,41.486
85363,2398,41.126
85463,2420,41.503
85563,2421,41.520
85663,2396,41.091
85763,2420,41.503
85863,2420,41.503
85963,2420,41.503
86063,2420,41.503
86163,2396,41.091
86263,2396,41.091
86363,2420,41.503
86463,2421,41.520
86563,47,0.806
86663,2375,40.731
86763,2396,41.091
86863,47,0.806
86963,47,0.806
87063,47,0.806
87163,2396,41.091
87263,47,0.806
87363,47,0.806
87463,46,0.789
87563,47,0.806
87663,47,0.806
87763,46,0.789
87863,47,0.806
87963,47,0.806
88063,47,0.806
88163,46,0.789
88263,47,0.806
88363,47,0.806
88463,47,0.806
88563,47,0.806
88663,46,0.789
88763,47,0.806
88863,46,0.789
88963,46,0.789
89063,47,0.806
89163,47,0.806
89263,46,0.789
89363,47,0.806
89463,2443,41.897
89563,550,9.432
89663,2630,45.104
89763,2589,44.401
89863,2749,47.145
89963,2652,45.482
90063,2701,46.322
90163,2867,49.169
90263,4137,70.950
90363,4138,70.967
90463,4116,70.589
90563,4162,71.378
90663,4187,71.807
90763,4116,70.589
90863,4116,70.589
90963,4186,71.790
91063,4162,71.378
91163,4115,70.572
91263,4116,70.589
91363,4116,70.589
91463,4116,70.589
91563,4116,70.589
91663,4116,70.589
91763,4116,70.589
91863,4116,70.589
91963,4116,70.589
92063,4116,70.589
92163,4140,71.001
92263,4116,70.589
92363,4140,71.001
92463,4140,71.001
92563,4165,71.430
92663,4140,71.001
92763,4164,71.413
92863,4140,71.001
92963,4140,71.001
93063,4140,71.001
93163,4140,71.001
93263,4164,71.413
93363,4140,71.001
93463,4140,71.001
93563,4164,71.413
93663,4164,71.413
93763,4164,71.413
93863,4140,71.001
93963,4140,71.001
